Temperature,Humidity,NDVI,Built-up,Population,Latitude,Longitude,Risk
43,67,0.6,66,6972,15.6033,85.5226,Medium
28,29,0.6,21,35585,9.8332,86.7272,Low
34,76,0.39,71,4809,34.1747,84.3234,Low
41,62,0.73,82,31109,10.304,88.0041,Medium
30,49,0.16,55,44873,24.1248,71.9356,Low
40,36,0.39,24,25592,11.0549,80.9824,Low
47,71,0.38,76,2695,32.009,81.7817,Medium
42,33,0.7,71,47660,8.5008,77.5277,Medium
35,79,0.74,54,38872,11.2805,84.3699,Low
37,85,0.16,69,42165,16.8793,83.5453,Medium
33,50,0.25,67,38732,25.6168,77.1455,Low
30,89,0.38,36,42782,33.5811,89.7853,Low
28,63,0.13,22,9731,12.445,69.907,Low
48,25,0.31,44,19216,34.5293,96.2773,Low
47,54,0.25,23,6006,25.8516,85.0617,Low
40,88,0.77,75,8594,28.7629,93.3755,Medium
33,59,0.62,88,38168,24.4717,92.8431,Low
47,48,0.47,90,13783,10.9335,95.0432,Medium
30,45,0.55,84,13394,35.0869,75.2775,Low
32,22,0.57,85,16312,31.0156,78.0484,Low
33,56,0.45,47,33182,9.3632,74.6918,Low
34,57,0.72,53,28462,32.2913,70.3996,Low
37,29,0.53,55,27821,10.6855,87.6603,Medium
43,39,0.21,30,23991,11.0655,93.4878,Low
42,49,0.37,23,32821,33.3072,77.5898,Low
38,41,0.7,54,38470,12.3813,77.852,Medium
43,79,0.31,73,10733,23.9249,93.2591,Medium
31,86,0.37,56,43876,17.2561,96.0822,Low
32,37,0.12,95,34850,20.8047,70.7952,Low
30,62,0.25,53,40344,9.274,95.2318,Low
34,25,0.68,59,36110,16.1412,74.7875,Low
40,80,0.56,53,47383,30.6842,83.7439,Medium
31,73,0.16,92,14893,23.5616,96.7929,Low
44,45,0.38,40,20956,30.2534,83.9617,Low
31,66,0.24,95,47179,20.3912,88.9862,Low
41,22,0.68,79,15567,26.8288,93.6417,Medium
45,83,0.17,54,33300,12.3809,89.6664,Medium
44,29,0.48,47,35272,22.0998,82.9386,Low
45,78,0.19,77,35526,16.4569,68.2072,High
47,86,0.52,35,7645,25.8876,82.2658,Low
29,48,0.79,90,32065,15.1852,86.3291,Low
31,52,0.43,88,33957,35.6297,72.9139,Low
44,77,0.39,23,19486,10.2126,84.6984,Low
41,50,0.18,70,21617,30.2616,89.6273,Medium
45,67,0.73,34,40865,12.1802,82.5651,Low
40,82,0.36,68,45078,18.3076,74.59,Medium
46,90,0.78,32,10176,28.4487,72.6681,Low
40,23,0.16,30,24893,13.5977,87.6371,Low
39,54,0.35,49,16788,28.4699,75.9143,Low
28,44,0.47,41,49389,24.1663,84.8816,Low
39,87,0.8,73,48737,27.4431,82.4703,Medium
33,75,0.63,86,24456,12.4983,87.8645,Low
44,67,0.59,23,3301,31.3622,91.6373,Low
30,90,0.37,50,18078,21.5314,85.837,Low
39,29,0.71,31,37309,27.7402,73.0494,Low
47,88,0.45,85,32792,32.4573,71.6388,Medium
31,42,0.39,78,28741,27.4247,70.3773,Low
45,41,0.39,81,48562,25.0054,68.1953,Medium
38,34,0.62,71,45503,27.3764,72.7086,Medium
33,24,0.43,87,34680,17.779,76.1974,Low
39,70,0.41,56,22061,14.1598,85.2018,Medium
35,22,0.69,60,7414,12.6547,86.9203,Low
37,59,0.42,64,5449,21.2426,73.1504,Medium
43,34,0.79,91,11570,20.4594,85.8656,Medium
39,24,0.56,75,32608,26.5519,96.4706,Medium
29,82,0.53,55,29776,23.8828,77.8259,Low
30,24,0.44,65,14683,23.2462,90.3552,Low
34,33,0.43,23,10822,15.384,76.3459,Low
47,71,0.59,23,34130,36.9909,70.9733,Low
35,29,0.72,64,28347,23.2206,89.6207,Low
37,20,0.72,36,3748,18.2161,93.6081,Low
28,40,0.55,28,49788,15.3167,84.2058,Low
32,37,0.12,34,11859,22.6454,81.3445,Low
40,26,0.19,66,12179,15.3967,90.844,Medium
46,56,0.78,21,21680,33.4439,93.5412,Low
45,33,0.42,47,6166,25.4477,76.4241,Low
40,60,0.78,44,9843,11.7333,95.3209,Low
44,34,0.47,70,33846,24.9414,70.5779,Medium
42,62,0.39,52,41639,12.8711,89.4927,Medium
28,46,0.42,63,7233,24.1653,90.8926,Low
39,35,0.52,70,8801,32.7481,87.2176,Medium
32,33,0.35,44,22099,15.5488,83.8601,Low
36,41,0.53,73,3885,11.1079,95.9879,Medium
41,40,0.74,39,42619,12.003,82.425,Low
36,66,0.1,44,14712,17.21,75.8078,Low
40,70,0.17,60,34153,33.8327,95.3562,Medium
33,55,0.14,65,25160,12.4425,80.1605,Low
46,55,0.63,91,39625,28.415,69.8954,Medium
37,31,0.36,32,46164,15.3813,95.9342,Low
34,56,0.25,55,10024,11.189,85.0461,Low
42,53,0.35,48,6761,25.2943,90.7946,Low
32,42,0.53,74,20768,21.5506,82.4599,Low
35,36,0.77,38,17930,9.8799,76.0896,Low
30,66,0.32,47,21467,13.0939,88.9096,Low
28,62,0.59,42,15457,27.8945,88.6346,Low
38,37,0.7,44,45581,34.6737,82.6477,Low
39,24,0.43,62,25815,25.7663,81.308,Medium
45,42,0.38,47,27643,28.2812,76.8389,Low
37,27,0.43,79,37876,17.9589,93.13,Medium
47,70,0.11,82,40920,17.9033,89.579,High
47,48,0.23,46,45813,15.1671,92.2921,Low
30,70,0.22,77,19826,12.0878,96.0778,Low
45,35,0.37,85,28084,10.3627,73.429,Medium
39,31,0.31,38,32801,25.118,79.1301,Low
47,85,0.57,93,8593,33.7116,87.1747,Medium
35,36,0.64,41,16098,32.9951,86.756,Low
30,65,0.46,81,14391,20.9233,81.5059,Low
43,20,0.34,84,35817,25.0482,72.8806,Medium
36,57,0.6,68,44923,29.2532,69.9291,Medium
37,86,0.41,88,40572,11.6797,74.1197,Medium
34,59,0.12,50,21445,27.4051,70.2436,Low
28,38,0.71,54,2126,28.268,85.2316,Low
40,39,0.54,52,40075,35.7319,77.4396,Medium
33,50,0.18,34,34251,26.3509,79.5848,Low
43,67,0.59,54,5596,34.1348,93.0565,Medium
38,26,0.37,72,49727,19.5876,71.5449,Medium
32,64,0.4,65,2954,30.5752,71.5767,Low
48,52,0.52,88,48426,32.2311,90.9614,Medium
35,84,0.62,84,49612,32.5146,79.9195,Low
47,49,0.52,72,20759,30.4271,76.9974,Medium
30,45,0.61,47,33934,35.5469,83.0646,Low
31,27,0.38,32,4595,20.2445,88.8026,Low
45,86,0.69,25,19342,26.5789,88.9304,Low
41,23,0.37,33,10290,29.4418,89.5554,Low
38,48,0.41,55,40929,29.2158,93.916,Medium
41,33,0.58,93,7452,18.9865,78.155,Medium
37,67,0.41,72,6662,25.5892,82.2974,Medium
47,57,0.64,58,11209,28.4647,88.4061,Medium
46,60,0.76,55,36950,15.0602,85.1126,Medium
29,69,0.78,82,48043,14.2547,90.7222,Low
42,76,0.36,41,37554,36.4889,84.4749,Low
47,78,0.42,66,4804,9.5214,73.3585,Medium
38,43,0.23,82,3971,10.908,94.8043,Medium
44,39,0.32,86,43786,23.4303,73.6354,Medium
37,33,0.17,60,43282,26.368,69.3828,Medium
44,82,0.7,75,2997,30.962,79.0482,Medium
44,80,0.74,32,8168,9.1819,96.7032,Low
48,41,0.68,32,47678,20.1369,79.487,Low
34,80,0.24,93,23177,24.4827,86.0388,Low
47,39,0.37,80,7561,12.3949,90.3888,Medium
40,30,0.65,29,26970,12.6862,77.103,Low
45,36,0.16,85,8099,14.6271,76.0989,High
31,80,0.16,53,7460,22.6522,78.9417,Low
33,76,0.19,40,16540,28.5685,70.4922,Low
35,26,0.44,65,24046,32.431,87.2826,Low
45,79,0.79,26,32317,30.5676,74.8844,Low
48,64,0.47,73,22722,15.6339,86.1865,Medium
33,44,0.67,84,48992,22.3544,94.7351,Low
33,24,0.27,66,31609,18.9383,68.9649,Low
46,24,0.44,52,17484,23.2933,85.1622,Medium
45,49,0.69,75,15718,8.6048,94.1276,Medium
41,40,0.43,25,8794,27.3299,68.2022,Low
33,75,0.11,20,39638,35.4132,94.1279,Low
29,25,0.31,85,49295,35.1035,71.1953,Low
42,25,0.66,30,44178,9.4173,78.9596,Low
28,90,0.79,75,15032,15.5471,87.3221,Low
33,27,0.47,75,12559,34.7441,79.0997,Low
31,37,0.43,58,31579,26.4857,80.5745,Low
38,66,0.44,76,4350,35.8572,77.7899,Medium
28,26,0.44,52,46342,8.9455,76.8658,Low
32,38,0.29,47,49182,30.4462,75.2373,Low
41,55,0.56,21,42108,17.2963,89.6073,Low
44,46,0.76,26,18484,30.964,69.4354,Low
41,90,0.49,37,4748,28.0097,86.6449,Low
48,89,0.48,94,22475,35.6179,96.8742,Medium
33,36,0.15,63,12059,35.2325,73.6468,Low
35,64,0.78,69,33183,13.8019,90.1734,Low
37,53,0.55,45,33304,8.283,95.4516,Low
32,77,0.53,30,46130,21.0412,92.6969,Low
31,90,0.75,23,43208,24.9846,70.6923,Low
41,27,0.12,90,38030,16.2897,70.034,Medium
42,57,0.53,44,25652,29.3505,93.09,Low
37,70,0.58,72,21004,20.7925,73.5545,Medium
36,50,0.12,46,18285,15.9486,94.922,Low
28,85,0.77,42,13402,31.184,68.0501,Low
38,65,0.67,93,16736,11.8291,83.6864,Medium
38,33,0.25,42,35953,23.3429,81.8624,Low
42,31,0.11,80,6990,16.4195,91.0504,High
41,56,0.43,45,28413,20.6524,74.4871,Low
38,86,0.35,84,15760,11.9736,78.6353,Medium
44,69,0.41,78,26645,32.2473,83.3446,Medium
44,69,0.65,22,32535,14.3295,79.0944,Low
29,20,0.4,32,23296,16.3752,90.6969,Low
32,31,0.25,30,3617,35.2891,71.0858,Low
31,58,0.38,55,12473,32.0251,77.4656,Low
41,83,0.25,63,49062,20.5632,83.3745,Medium
29,37,0.32,75,9714,21.0268,81.7563,Low
43,70,0.74,44,41009,23.3297,82.2379,Low
29,30,0.27,36,26358,30.8732,89.1883,Low
40,31,0.79,30,37426,32.451,70.0084,Low
34,44,0.25,65,11997,34.3516,68.3791,Low
47,60,0.53,45,23818,21.727,83.4991,Low
47,45,0.31,56,37976,31.0014,74.7095,Medium
31,43,0.54,33,3174,24.4134,70.9996,Low
40,27,0.2,89,8392,18.5371,92.0937,Medium
30,29,0.47,62,40336,24.453,77.2154,Low
40,90,0.16,63,44375,12.3331,94.2581,Medium
47,39,0.5,51,23197,32.9563,76.7438,Medium
28,52,0.3,85,47343,15.9688,79.9764,Low
44,63,0.69,32,46496,29.4935,91.848,Low
45,86,0.79,25,43898,26.1257,95.445,Low
31,72,0.45,94,41704,22.12,74.4327,Low
38,48,0.4,42,30823,29.9234,72.5557,Low
46,29,0.31,75,26296,24.2482,73.1383,Medium
28,84,0.13,55,46165,22.6752,95.8511,Low
41,76,0.76,50,49920,19.3432,69.276,Low
45,68,0.75,54,37481,32.0409,90.0232,Medium
44,90,0.55,76,15143,9.3968,95.3296,Medium
48,88,0.3,33,16392,9.2148,70.1658,Low
37,84,0.47,21,3793,17.0914,93.1298,Low
39,29,0.35,40,41906,33.2797,74.292,Low
48,36,0.48,81,45135,20.6201,73.8507,Medium
36,89,0.49,25,10205,21.1919,89.8606,Low
41,81,0.63,33,47169,25.8276,96.6005,Low
43,89,0.37,30,7255,18.2676,90.6031,Low
40,63,0.32,93,43669,10.6831,96.3713,Medium
42,75,0.41,29,30753,29.191,76.518,Low
40,90,0.65,92,46768,25.6477,92.7897,Medium
43,41,0.39,44,22186,27.515,76.3952,Low
34,36,0.42,93,35737,25.0825,91.7167,Low
39,23,0.53,42,12281,34.9561,87.5292,Low
31,59,0.68,86,49591,21.2333,74.6102,Low
47,35,0.73,95,9748,24.6295,77.4782,Medium
37,72,0.47,50,2687,10.2877,71.8362,Low
33,77,0.62,48,16855,18.2251,82.6068,Low
43,41,0.79,89,28796,9.2391,86.9572,Medium
39,87,0.24,73,29747,12.4169,83.0251,Medium
43,20,0.25,50,20922,22.3238,85.2874,Low
28,36,0.51,71,37049,34.2889,90.8007,Low
39,47,0.72,75,22248,20.7771,83.0626,Medium
28,66,0.4,59,47557,15.3774,90.9843,Low
44,62,0.64,83,47129,12.0893,87.165,Medium
39,26,0.44,76,46972,28.9689,86.1518,Medium
35,76,0.49,95,37903,27.1412,73.4395,Low
34,81,0.37,95,15399,33.5223,88.7621,Low
46,53,0.44,58,22867,30.634,85.1613,Medium
48,31,0.41,58,8770,25.1044,75.6743,Medium
41,44,0.61,95,23521,35.3137,73.2415,Medium
44,50,0.15,80,11869,17.7978,96.0146,High
44,47,0.77,50,40349,35.6504,73.3762,Low
45,68,0.49,62,20831,21.6202,79.5996,Medium
30,86,0.71,48,2161,30.885,89.0532,Low
39,71,0.13,79,43557,25.3081,96.3988,Medium
43,34,0.31,71,15083,20.3884,86.1234,Medium
37,78,0.7,28,18061,16.4336,89.0038,Low
39,88,0.5,61,10626,24.1486,93.3076,Medium
40,66,0.76,82,49336,36.2586,79.5123,Medium
31,74,0.78,52,43311,15.1128,93.161,Low
39,26,0.78,83,23662,33.4961,87.3452,Medium
44,27,0.15,59,48225,19.6327,83.9384,Medium
33,24,0.27,84,8864,22.9951,91.2716,Low
46,73,0.22,63,19357,18.2721,87.2927,Medium
29,26,0.42,93,37104,8.8952,86.0423,Low
38,77,0.7,45,33442,9.7025,91.5693,Low
36,78,0.38,67,45209,23.8629,92.3568,Medium
37,51,0.18,48,3402,22.3357,82.2048,Low
32,22,0.5,42,27245,26.3235,96.448,Low
28,39,0.2,40,33645,32.431,85.8342,Low
30,47,0.3,32,9291,15.6672,91.2068,Low
39,27,0.51,78,26339,24.1567,79.8251,Medium
36,40,0.52,21,23256,31.1181,81.8698,Low
45,57,0.21,75,44835,22.4172,75.4236,High
46,83,0.54,56,21632,32.3512,94.996,Medium
32,59,0.33,79,7310,30.1277,95.5059,Low
44,61,0.23,53,14592,16.4316,91.9807,Medium
34,79,0.12,70,37261,26.6546,76.6379,Low
46,59,0.71,63,10317,15.6769,74.3881,Medium
29,27,0.39,53,16747,23.8746,83.7438,Low
41,28,0.23,44,16136,15.4031,90.2087,Low
40,67,0.31,42,39796,19.0539,79.6367,Low
42,25,0.54,95,26549,17.6334,94.6172,Medium
39,41,0.73,22,42867,14.0603,74.5908,Low
43,82,0.66,70,2813,21.4961,96.1248,Medium
40,89,0.23,95,49718,14.428,76.7587,Medium
34,21,0.53,62,3957,10.1325,79.3655,Low
44,81,0.22,52,42860,31.4508,74.6013,Medium
41,78,0.12,91,14166,24.4331,79.051,Medium
46,78,0.64,64,29615,19.2911,91.204,Medium
34,68,0.63,92,23814,8.2001,92.4736,Low
39,36,0.74,49,13051,9.9058,92.3368,Low
31,54,0.24,23,20040,9.0876,95.4182,Low
48,44,0.73,88,20340,26.6886,73.4442,Medium
41,75,0.12,61,3884,22.732,78.3066,Medium
31,25,0.47,40,20788,36.7082,69.0556,Low
35,55,0.19,93,3275,19.3578,85.8428,Low
37,21,0.52,22,35063,18.6544,74.9797,Low
29,45,0.67,69,18321,29.8687,93.618,Low
40,27,0.11,61,8636,16.0816,76.0117,Medium
46,85,0.49,34,31003,10.3371,75.7097,Low
33,37,0.52,49,25948,28.5791,96.8349,Low
30,21,0.5,36,5575,29.2669,69.2452,Low
43,84,0.44,27,49721,8.3047,89.7027,Low
39,85,0.44,43,48327,13.2388,96.3255,Low
46,49,0.43,61,7253,24.8703,72.2842,Medium
34,74,0.13,80,43795,35.5236,73.0661,Low
42,67,0.17,51,39849,24.1714,90.9503,Medium
40,23,0.58,28,7578,28.4492,86.3938,Low
45,67,0.62,27,41557,34.8267,84.6704,Low
43,37,0.21,63,5786,36.4675,69.7788,Medium
31,70,0.1,92,7116,32.21,94.9309,Low
33,62,0.55,59,5284,20.6034,74.732,Low
46,51,0.28,68,40851,14.3417,70.2866,Medium
38,53,0.44,36,14403,19.7546,71.5958,Low
40,68,0.45,23,37861,26.9446,76.9673,Low
30,67,0.37,71,15480,11.0651,76.6508,Low
35,61,0.32,90,5954,36.1338,82.4892,Low
47,20,0.67,70,7916,24.5217,85.4282,Medium
33,35,0.31,84,39109,11.5376,94.8439,Low
45,28,0.28,95,9237,31.1368,70.5698,High
38,73,0.64,89,23805,16.5852,78.39,Medium
34,31,0.33,36,15900,33.809,83.4578,Low
39,28,0.13,85,19536,24.2924,79.4812,Medium
45,24,0.36,71,26724,21.1711,86.5695,Medium
46,58,0.56,89,46622,12.8804,74.3891,Medium
36,81,0.14,36,12473,8.7148,80.2517,Low
28,74,0.29,40,39050,13.8965,87.5109,Low
48,67,0.39,37,13069,35.7259,92.1842,Low
28,42,0.32,79,37469,13.9843,89.1356,Low
48,36,0.56,28,44126,8.2219,85.5122,Low
38,63,0.33,82,42518,33.4397,83.4761,Medium
32,53,0.23,92,21289,8.408,76.4287,Low
32,51,0.34,25,34971,26.0726,96.2702,Low
28,39,0.64,89,43595,14.8455,93.2643,Low
35,33,0.68,78,5751,12.1947,85.975,Low
35,33,0.64,76,12832,35.3195,80.6069,Low
31,45,0.24,82,47372,22.3574,73.2293,Low
42,48,0.68,59,44687,26.2227,76.2309,Medium
47,52,0.51,43,37035,20.8421,91.5783,Low
44,55,0.24,58,3153,12.1934,88.9745,Medium
36,55,0.27,46,7344,17.743,86.9393,Low
30,63,0.24,40,20457,9.0448,84.0702,Low
33,21,0.23,87,28448,16.0416,93.7843,Low
31,76,0.3,36,18503,15.9974,83.3956,Low
48,70,0.23,71,21547,32.483,94.2468,High
44,65,0.33,85,11896,10.549,85.9458,Medium
36,35,0.31,59,41353,23.7782,79.2263,Medium
37,48,0.63,29,9850,14.8412,68.7715,Low
31,87,0.59,49,13453,26.9838,72.7902,Low
31,75,0.49,81,4061,31.7891,81.5777,Low
43,78,0.13,87,46966,10.5122,72.8418,High
40,69,0.79,62,44550,28.9516,76.8122,Medium
40,90,0.56,28,23247,31.4136,80.127,Low
44,72,0.56,68,49667,8.148,77.6338,Medium
36,87,0.26,94,3711,14.6107,69.5305,Medium
44,67,0.39,75,40085,34.3167,72.182,Medium
28,64,0.2,76,44501,23.5171,87.1443,Low
46,37,0.58,23,15830,34.9172,75.5562,Low
41,43,0.64,88,20942,16.878,78.2911,Medium
42,80,0.18,77,21119,8.0537,93.9815,High
28,42,0.79,89,25183,13.4596,91.2766,Low
47,61,0.18,89,8453,12.5342,95.4073,High
42,50,0.12,26,24533,23.8472,73.5408,Low
40,62,0.69,69,44090,34.2695,96.8917,Medium
46,46,0.54,52,40406,32.4399,68.5573,Medium
32,89,0.25,52,34940,35.922,71.3818,Low
34,80,0.12,32,12925,28.4443,88.1496,Low
45,81,0.79,82,6544,24.821,71.2364,Medium
42,55,0.15,91,27094,15.193,90.3597,High
31,61,0.17,38,44567,29.0171,82.5939,Low
40,87,0.68,88,46540,18.1506,82.6158,Medium
41,60,0.14,67,28709,27.6671,81.8802,Medium
44,23,0.69,94,49733,27.5173,68.6167,Medium
35,43,0.34,59,43235,16.6989,70.76,Low
30,66,0.45,79,40873,32.3047,72.5834,Low
37,46,0.61,32,35452,36.3805,68.1777,Low
42,47,0.68,67,3351,31.6188,90.9545,Medium
36,79,0.34,39,38347,33.5644,77.2457,Low
32,47,0.19,31,34480,25.815,68.7785,Low
41,77,0.46,54,10971,10.6404,74.8065,Medium
31,42,0.46,28,47854,28.4587,89.3676,Low
36,33,0.7,54,36019,36.7858,81.4525,Medium
40,75,0.51,77,8950,28.7008,72.7563,Medium
35,49,0.34,79,36654,23.312,86.8837,Low
47,57,0.48,36,44006,9.0594,88.6008,Low
30,87,0.31,65,25908,30.3341,93.7137,Low
47,24,0.76,87,13219,34.2172,89.1308,Medium
30,36,0.68,53,5945,14.5494,89.8656,Low
40,50,0.17,57,19265,25.4266,87.5954,Medium
48,86,0.46,46,30507,31.2289,74.8774,Low
42,55,0.1,77,42627,35.6239,68.4859,High
38,49,0.33,56,5967,33.2381,79.8452,Medium
42,56,0.2,25,7632,20.4777,94.1479,Low
30,78,0.26,70,33045,23.9139,68.4899,Low
33,29,0.52,32,14744,21.9793,89.3936,Low
47,87,0.75,85,14036,35.3346,76.8954,Medium
40,29,0.22,43,13794,25.0575,68.0404,Low
43,57,0.35,48,6789,16.7422,70.811,Low
29,60,0.46,74,13017,10.0763,79.6751,Low
32,35,0.24,88,29041,16.118,74.0033,Low
42,42,0.36,76,11025,23.3348,82.7702,Medium
33,67,0.68,29,7647,27.7002,72.2578,Low
37,51,0.15,37,37523,23.8965,77.8858,Low
47,80,0.73,46,35165,34.5438,93.3622,Low
43,53,0.27,92,13272,31.1156,82.8441,High
41,73,0.45,59,17180,34.076,82.2694,Medium
39,85,0.67,71,31365,30.2587,87.0334,Medium
47,25,0.64,22,42591,31.9005,83.0704,Low
37,40,0.27,54,39517,25.7208,86.6117,Medium
41,85,0.67,62,3536,24.7547,70.7463,Medium
44,36,0.45,24,49487,10.249,69.3766,Low
33,34,0.35,44,47064,14.8854,73.4062,Low
42,75,0.51,40,3658,27.1928,85.5199,Low
48,83,0.68,64,21255,11.7359,91.4338,Medium
38,80,0.29,59,38782,16.1565,85.0843,Medium
39,20,0.17,36,37291,25.512,81.7287,Low
42,43,0.7,38,13647,12.2405,68.6725,Low
40,22,0.46,47,3701,35.3182,79.9069,Low
30,74,0.75,86,31504,19.6354,84.496,Low
41,59,0.31,38,48874,31.6928,77.395,Low
40,82,0.73,28,31552,9.0417,84.8085,Low
48,83,0.43,84,49156,29.2137,92.2303,Medium
46,46,0.4,38,29619,10.0341,83.9318,Low
43,70,0.7,95,16301,31.1283,81.7049,Medium
29,33,0.61,28,3586,8.8267,89.4244,Low
38,72,0.36,94,42334,33.2562,90.6675,Medium
44,53,0.29,32,4776,14.494,73.5307,Low
34,85,0.24,31,41783,24.0524,85.5758,Low
47,38,0.19,62,22636,23.8159,71.8751,Medium
29,51,0.75,78,26678,10.093,78.3933,Low
29,65,0.34,29,39011,35.6084,77.7009,Low
35,71,0.11,35,36125,14.7805,88.0396,Low
29,87,0.54,90,30431,23.2768,87.7244,Low
44,26,0.32,70,9769,26.0475,89.5817,Medium
36,79,0.31,48,41137,25.598,82.0206,Low
42,40,0.61,51,10017,32.6971,69.7366,Medium
42,52,0.19,45,15685,17.8472,82.3797,Low
35,47,0.17,53,16808,10.9282,88.9433,Low
29,70,0.74,30,37114,31.5135,82.173,Low
35,57,0.38,95,13599,36.473,96.4804,Low
37,61,0.56,71,39640,19.4976,82.0762,Medium
48,81,0.17,36,34629,17.9776,93.5685,Low
46,36,0.66,79,38188,29.54,85.4065,Medium
44,63,0.14,53,17949,29.07,89.5802,Medium
29,49,0.51,44,41138,12.9484,73.6864,Low
34,76,0.41,84,2208,36.6845,91.6316,Low
44,90,0.78,94,20680,24.0909,88.6011,Medium
29,20,0.71,71,3456,32.101,88.1317,Low
42,49,0.24,24,36069,17.4275,73.4083,Low
29,73,0.11,36,35168,20.6179,71.4871,Low
28,85,0.45,32,34591,27.4856,94.9652,Low
28,85,0.15,78,44156,13.7702,93.0146,Low
33,50,0.37,44,24136,33.1609,76.017,Low
29,79,0.25,94,33642,11.2578,81.83,Low
30,84,0.37,63,22453,31.8972,84.7458,Low
28,80,0.37,73,26981,21.2268,84.2346,Low
37,79,0.42,35,8987,23.887,94.1242,Low
36,36,0.41,52,27012,33.2154,93.056,Medium
42,40,0.78,64,23170,11.9764,90.8497,Medium
36,84,0.18,20,24947,9.1912,86.3577,Low
39,23,0.15,48,15622,26.3381,77.1728,Low
46,82,0.74,38,14483,24.9274,84.501,Low
36,42,0.58,87,27572,19.0867,95.0824,Medium
29,71,0.14,76,9194,10.0572,86.4145,Low
33,84,0.32,88,43201,22.9001,93.9864,Low
44,90,0.69,80,3967,33.1211,96.121,Medium
46,26,0.4,64,31635,14.5662,74.9152,Medium
28,26,0.14,66,31294,12.2073,95.1487,Low
47,54,0.13,62,39156,33.8569,85.0052,Medium
34,44,0.37,55,20082,16.3875,78.212,Low
29,44,0.38,77,17527,22.5324,80.9708,Low
45,20,0.43,63,7258,24.5186,76.9058,Medium
32,84,0.26,44,13011,10.3722,84.9139,Low
39,88,0.61,56,4853,25.9768,82.0366,Medium
43,26,0.11,43,32854,11.0456,79.3716,Low
44,46,0.5,50,11248,35.3985,91.2781,Low
38,33,0.31,34,36561,28.5988,71.7319,Low
48,52,0.46,35,7304,13.8891,88.9366,Low
38,76,0.36,81,38631,10.1802,68.4528,Medium
28,63,0.68,70,7864,12.1244,74.0258,Low
40,23,0.76,82,27413,11.0941,85.7619,Medium
41,33,0.48,88,11985,24.8656,88.4665,Medium
31,33,0.55,69,10767,15.3088,69.7961,Low
43,46,0.64,39,41687,11.5667,87.499,Low
36,79,0.73,45,5942,25.4484,88.3432,Low
36,71,0.4,74,7840,29.3812,92.2727,Medium
45,28,0.62,31,37691,14.2931,96.6668,Low
35,66,0.2,80,2788,30.4803,90.3673,Low
34,85,0.64,69,32570,34.8455,77.9685,Low
28,21,0.21,63,12783,18.9191,77.1025,Low
48,43,0.28,43,14243,10.2871,79.6552,Low
33,33,0.18,21,35426,28.8622,83.0712,Low
30,56,0.59,22,41676,26.7138,78.996,Low
32,87,0.4,39,44238,11.3581,89.3894,Low
46,65,0.55,75,31419,22.2107,90.3816,Medium
47,81,0.47,92,48831,8.4636,94.0425,Medium
34,46,0.32,59,28905,19.2406,73.4387,Low
46,22,0.66,26,46060,33.8366,90.3329,Low
38,50,0.75,94,20280,16.8335,92.4734,Medium
45,64,0.59,49,25556,36.6968,89.5097,Low
28,39,0.8,62,46915,21.9278,73.8783,Low
28,33,0.42,42,15417,13.7415,70.3533,Low
37,22,0.14,32,10785,24.9252,86.3322,Low
41,82,0.66,52,31751,29.8978,68.0299,Medium
38,90,0.52,92,13709,17.8063,70.892,Medium
41,84,0.61,93,29248,13.1113,85.9862,Medium
31,61,0.23,34,17738,15.5252,72.1889,Low
47,63,0.56,94,23226,10.3304,78.6144,Medium
45,84,0.43,76,13668,13.8479,94.5563,Medium
32,22,0.38,24,34761,12.2037,80.148,Low
45,25,0.11,79,3175,34.9475,96.6079,High
37,20,0.66,86,2671,18.1086,72.0791,Medium
39,54,0.35,85,43103,14.5039,84.4678,Medium
34,52,0.3,51,19847,15.264,96.6094,Low
34,89,0.12,47,35093,29.2153,88.7078,Low
32,53,0.2,39,26373,11.0484,87.6865,Low
40,44,0.52,47,16499,30.2875,71.4088,Low
42,27,0.5,21,13585,16.1915,83.4838,Low
47,39,0.46,38,31653,26.4372,91.4812,Low
32,78,0.41,64,23651,17.7971,75.3829,Low
44,27,0.55,27,32009,16.4811,78.434,Low
42,49,0.64,42,48310,33.7015,77.6131,Low
33,66,0.73,94,11870,35.1163,77.1187,Low
31,56,0.64,94,18379,21.4241,95.5764,Low
46,71,0.43,62,29611,17.1312,84.3102,Medium
45,27,0.43,59,47057,32.6947,74.4074,Medium
45,86,0.65,66,22803,29.6648,86.4707,Medium
44,51,0.45,46,39471,24.4895,96.814,Low
43,74,0.24,33,2732,36.241,72.1292,Low
35,81,0.6,89,3303,18.2321,71.876,Low
35,87,0.61,36,35584,10.8312,86.2166,Low
47,44,0.67,51,23156,10.4456,84.8135,Medium
38,73,0.68,84,20720,19.2405,91.1716,Medium
35,64,0.69,48,28778,16.9355,85.7222,Low
30,22,0.29,76,31237,16.8529,86.6013,Low
43,49,0.64,52,46434,34.7831,73.1202,Medium
39,22,0.14,38,43044,25.2683,68.76,Low
31,52,0.44,25,18334,26.8998,69.1955,Low
46,47,0.41,62,21338,12.082,87.2066,Medium
34,65,0.12,73,6457,8.7462,75.511,Low
36,75,0.44,90,23409,25.7786,83.0192,Medium
40,50,0.42,54,28596,10.0538,85.7059,Medium
38,28,0.72,46,35083,18.5526,79.451,Low
43,57,0.55,24,9145,23.3769,73.7716,Low
32,75,0.71,52,6791,21.8476,92.1718,Low
